capacity,c1_box_index,c2_box_index,c3_box_index,connection_type
1.0872765509989486e-10,0,16,3,0
9.306930693069308e-11,0,16,4,0
1.3600335500104845e-10,0,16,5,0
1.5732217573221762e-10,0,16,6,0
1.996668054977093e-10,0,16,7,0
1.9583333333333338e-10,0,16,8,0
2.3782662795520526e-10,0,16,9,0
2.5867990895923855e-10,0,16,10,0
3.0010298661174047e-10,0,16,11,0
2.850835568392821e-10,0,16,12,0
3.2626822756212774e-10,0,16,13,0
3.467213114754098e-10,0,16,14,0
9.84e-09,0,17,0,0
4.3804127883448e-11,0,17,1,0
6.55602665051484e-11,0,17,2,0
1.0878391959798996e-10,0,17,3,0
9.31105294946648e-11,0,17,4,0
1.3609140108238126e-10,0,17,5,0
1.5744000000000003e-10,0,17,6,0
1.9985663082437278e-10,0,17,7,0
1.9601593625498012e-10,0,17,8,0
2.3809599365331215e-10,0,17,9,0
2.5899861468434593e-10,0,17,10,0
3.005320197044335e-10,0,17,11,0
2.854706927175844e-10,0,17,12,0
3.2677539791707605e-10,0,17,13,0
3.4729411764705884e-10,0,17,14,0
1.034e-08,0,18,0,0
4.3813559322033905e-11,0,18,1,0
6.558139534883722e-11,0,18,2,0
1.088421052631579e-10,0,18,3,0
9.315315315315318e-11,0,18,4,0
1.3618247757205574e-10,0,18,5,0
1.5756190476190478e-10,0,18,6,0
2.0005311077389984e-10,0,18,7,0
1.962049335863378e-10,0,18,8,0
2.3837490551776265e-10,0,18,9,0
2.5932868187818217e-10,0,18,10,0
3.0097652582159627e-10,0,18,11,0
2.858717321798007e-10,0,18,12,0
3.273009926952613e-10,0,18,13,0
3.4788785046728975e-10,0,18,14,0
1.0780000000000001e-08,0,19,0,0
4.3821138211382116e-11,0,19,1,0
6.559837728194726e-11,0,19,2,0
1.088888888888889e-10,0,19,3,0
9.318741953283062e-11,0,19,4,0
1.3625572449166516e-10,0,19,5,0
1.5765996343692873e-10,0,19,6,0
2.0021121631463948e-10,0,19,7,0
1.963570127504554e-10,0,19,8,0
2.38599419448476e-10,0,19,9,0
2.5959442332065905e-10,0,19,10,0
3.0133453561767357e-10,0,19,11,0
2.861946902654868e-10,0,19,12,0
3.277244108652635e-10,0,19,13,0
3.483662477558348e-10,0,19,14,0
1.1400000000000001e-08,0,20,0,0
4.3830828381684734e-11,0,20,1,0
6.562009419152277e-11,0,20,2,0
1.0894874022589055e-10,0,20,3,0
9.323125108752394e-11,0,20,4,0
1.3634945397815913e-10,0,20,5,0
1.577854671280277e-10,0,20,6,0
2.0041365046535678e-10,0,20,7,0
1.9655172413793107e-10,0,20,8,0
2.3888698041909993e-10,0,20,9,0
2.599348534201954e-10,0,20,10,0
3.017933390264731e-10,0,20,11,0
2.8660851718830177e-10,0,20,12,0
3.282671664678821e-10,0,20,13,0
3.489795918367347e-10,0,20,14,0
1.184e-08,0,21,0,0
4.3837091888253116e-11,0,21,1,0
6.56341340500588e-11,0,21,2,0
1.0898744769874478e-10,0,21,3,0
9.325959443606504e-11,0,21,4,0
1.3641008515611958e-10,0,21,5,0
1.578666666666667e-10,0,21,6,0
2.0054466954500166e-10,0,21,7,0
1.9667774086378741e-10,0,21,8,0
2.390731545845746e-10,0,21,9,0
2.601552948950934e-10,0,21,10,0
3.020905349794239e-10,0,21,11,0
2.8687654524476684e-10,0,21,12,0
3.2861882082443754e-10,0,21,13,0
3.493770491803279e-10,0,21,14,0
1.234e-08,0,22,0,0
4.3843669250646e-11,0,22,1,0
6.56488795743995e-11,0,22,2,0
1.0902811244979921e-10,0,22,3,0
9.328936786231303e-11,0,22,4,0
1.3647379387722393e-10,0,22,5,0
1.5795200000000002e-10,0,22,6,0
2.0068239795918368e-10,0,22,7,0
1.9681020733652317e-10,0,22,8,0
2.3926891290527653e-10,0,22,9,0
2.60387117245756e-10,0,22,10,0
3.02403162055336e-10,0,22,11,0
2.8715846129491856e-10,0,22,12,0
3.289887994951886e-10,0,22,13,0
3.4979527559055124e-10,0,22,14,0
1.2780000000000003e-08,0,23,0,0
4.384903306300687e-11,0,23,1,0
6.566090611863616e-11,0,23,2,0
1.0906128782001552e-10,0,23,3,0
9.331365542954793e-11,0,23,4,0
1.3652577798420809e-10,0,23,5,0
1.5802163833075736e-10,0,23,6,0
2.0079482439926062e-10,0,23,7,0
1.9691833590138678e-10,0,23,8,0
2.394287469287469e-10,0,23,9,0
2.605764218917676e-10,0,23,10,0
3.026585179526356e-10,0,23,11,0
2.8738871041762283e-10,0,23,12,0
3.2929105046500995e-10,0,23,13,0
3.5013698630136986e-10,0,23,14,0
1.3800000000000001e-08,0,24,0,0
4.3860156024270446e-11,0,24,1,0
6.568585028126353e-11,0,24,2,0
1.0913012221423437e-10,0,24,3,0
9.336404203253204e-11,0,24,4,0
1.3663366336633666e-10,0,24,5,0
1.5816618911174789e-10,0,24,6,0
2.0102827763496145e-10,0,24,7,0
1.9714285714285719e-10,0,24,8,0
2.397607519225292e-10,0,24,9,0
2.609697142044647e-10,0,24,10,0
3.031892274982282e-10,0,24,11,0
2.8786717752235e-10,0,24,12,0
3.2991936624699395e-10,0,24,13,0
3.5084745762711867e-10,0,24,14,0
1.4240000000000002e-08,0,25,0,0
4.3864463735648285e-11,0,25,1,0
6.569551237243115e-11,0,25,2,0
1.0915679442508712e-10,0,25,3,0
9.338356355518349e-11,0,25,4,0
1.3667547642231188e-10,0,25,5,0
1.5822222222222225e-10,0,25,6,0
2.011188036554971e-10,0,25,7,0
1.9722991689750694e-10,0,25,8,0
2.398895332780999e-10,0,25,9,0
2.611222942230801e-10,0,25,10,0
3.033951890034364e-10,0,25,11,0
2.880528416127701e-10,0,25,12,0
3.301632597064069e-10,0,25,13,0
3.511232876712329e-10,0,25,14,0
1.4740000000000002e-08,0,26,0,0
4.386904761904763e-11,0,26,1,0
6.570579494799406e-11,0,26,2,0
1.091851851851852e-10,0,26,3,0
9.340434137791561e-11,0,26,4,0
1.367199892458664e-10,0,26,5,0
1.582818791946309e-10,0,26,6,0
2.012152034261242e-10,0,26,7,0
1.9732262382864795e-10,0,26,8,0
2.4002669514148424e-10,0,26,9,0
2.612848194055711e-10,0,26,10,0
3.0361461794019935e-10,0,26,11,0
2.8825063190102444e-10,0,26,12,0
3.304231330415175e-10,0,26,13,0
3.514172185430464e-10,0,26,14,0
1.518e-08,0,27,0,0
4.38728323699422e-11,0,27,1,0
6.571428571428572e-11,0,27,2,0
1.092086330935252e-10,0,27,3,0
9.342150058923663e-11,0,27,4,0
1.3675675675675677e-10,0,27,5,0
1.5833116036505867e-10,0,27,6,0
2.0129485179407175e-10,0,27,7,0
1.973992197659298e-10,0,27,8,0
2.4014004149377593e-10,0,27,9,0
2.614191376408132e-10,0,27,10,0
3.0379599741768884e-10,0,27,11,0
2.884141139976736e-10,0,27,12,0
3.3063796881041374e-10,0,27,13,0
3.5166023166023167e-10,0,27,14,0
1.5800000000000003e-08,0,28,0,0
4.3877808634183293e-11,0,28,1,0
6.572545064918694e-11,0,28,2,0
1.092394720301697e-10,0,28,3,0
9.34440669435007e-11,0,28,4,0
1.368051198393776e-10,0,28,5,0
1.5839598997493737e-10,0,28,6,0
2.0139965008747814e-10,0,28,7,0
1.9750000000000004e-10,0,28,8,0
2.4028920468711043e-10,0,28,9,0
2.615959168430225e-10,0,28,10,0
3.0403476101800124e-10,0,28,11,0
2.886293028457811e-10,0,28,12,0
3.3092080803073496e-10,0,28,13,0
3.51980198019802e-10,0,28,14,0
1.6240000000000002e-08,0,29,0,0
4.388111029231148e-11,0,29,1,0
6.573285907028088e-11,0,29,2,0
1.0925993883792049e-10,0,29,3,0
9.345904248806172e-11,0,29,4,0
1.368372206618635e-10,0,29,5,0
1.5843902439024394e-10,0,29,6,0
2.0146922889807834e-10,0,29,7,0
1.9756690997566914e-10,0,29,8,0
2.403882552778452e-10,0,29,9,0
2.6171331636980494e-10,0,29,10,0
3.041933534743203e-10,0,29,11,0
2.8877222692633367e-10,0,29,12,0
3.311086982748221e-10,0,29,13,0
3.5219277108433735e-10,0,29,14,0
1.6740000000000003e-08,0,30,0,0
4.3884652049571026e-11,0,30,1,0
6.574080685469476e-11,0,30,2,0
1.0928189910979229e-10,0,30,3,0
9.347510989663776e-11,0,30,4,0
1.3687166725915395e-10,0,30,5,0
1.5848520710059175e-10,0,30,6,0
2.0154390934844193e-10,0,30,7,0
1.9763872491145224e-10,0,30,8,0
2.4049458313707016e-10,0,30,9,0
2.6183935081735856e-10,0,30,10,0
3.043636363636364e-10,0,30,11,0
2.889256780556535e-10,0,30,12,0
3.313104578990514e-10,0,30,13,0
3.5242105263157894e-10,0,30,14,0
2e-08,1,0,0,0
4.390341249251647e-11,1,0,1,0
6.578291637595933e-11,1,0,2,0
1.093983092988563e-10,1,0,3,0
9.356026674629244e-11,1,0,4,0
1.3705432515642072e-10,1,0,5,0
1.5873015873015874e-10,1,0,6,0
2.0194020985943377e-10,1,0,7,0
1.9801980198019805e-10,1,0,8,0
2.4105907923335306e-10,1,0,9,0
2.625086351524721e-10,1,0,10,0
3.052683407188577e-10,1,0,11,0
2.8974081009165276e-10,1,0,12,0
3.323827318320386e-10,1,0,13,0
3.5363457760314345e-10,1,0,14,0
2.0440000000000003e-08,1,1,0,0
4.305283757338552e-10,1,1,0,1
4.39054872095294e-11,1,1,1,0
3.992015968063873e-11,1,1,1,1
6.578757436847753e-11,1,1,2,0
5.722708748807769e-11,1,1,2,1
1.0941119221411193e-10,1,1,3,0
8.761449621664676e-11,1,1,3,1
9.35696892958021e-11,1,1,4,0
7.715439086086095e-11,1,1,4,1
1.370745456312567e-10,1,1,5,0
1.0450299120880635e-10,1,1,5,1
1.5875728155339808e-10,1,1,6,0
1.166489925768823e-10,1,1,6,1
2.0198411160627785e-10,1,1,7,0
1.3841428060349612e-10,1,1,7,1
1.98062015503876e-10,1,1,8,0
1.3656114214773435e-10,1,1,8,1
2.4112163991491006e-10,1,1,9,0
1.5573684882385027e-10,1,1,9,1
2.625828262339419e-10,1,1,10,0
1.644161988727994e-10,1,1,10,1
3.053686746987952e-10,1,1,11,0
1.8022779524853994e-10,1,1,11,1
2.8983119513842006e-10,1,1,12,0
1.7470032465953967e-10,1,1,12,1
3.325016844739629e-10,1,1,13,0
1.8934706328714245e-10,1,1,13,1
3.537692307692308e-10,1,1,14,0
1.9605901574413307e-10,1,1,14,1
2.0940000000000004e-08,1,2,0,0
8.978032473734481e-10,1,2,0,1
4.390773922988945e-11,1,2,1,0
4.194436894818613e-11,1,2,1,1
6.579263067694945e-11,1,2,2,0
6.148040535049975e-11,1,2,2,1
1.0942517814726842e-10,1,2,3,0
9.799368822085541e-11,1,2,3,1
9.357991822763146e-11,1,2,4,0
8.50909749253191e-11,1,2,4,1
1.3709649871904358e-10,1,2,5,0
1.1961426887945075e-10,1,2,5,1
1.5878672985781995e-10,1,2,6,0
1.3579890205143025e-10,1,2,6,1
2.020317820658343e-10,1,2,7,0
1.662291910110022e-10,1,2,7,1
1.9810785241248822e-10,1,2,8,0
1.6356359839916482e-10,1,2,8,1
2.411895770392749e-10,1,2,9,0
1.918579167321919e-10,1,2,9,1
2.626633971517495e-10,1,2,10,0
2.0520278177631223e-10,1,2,10,1
3.054776470588235e-10,1,2,11,0
2.3043406058976568e-10,1,2,11,1
2.8992935857586893e-10,1,2,12,0
2.2147460607235995e-10,1,2,12,1
3.3263088636150013e-10,1,2,13,0
2.4555486341145976e-10,1,2,13,1
3.539154929577465e-10,1,2,14,0
2.5696321720377853e-10,1,2,14,1
2.138e-08,1,3,0,0
1.2909260991580914e-09,1,3,0,1
4.390963405526513e-11,1,3,1,0
4.254973245243989e-11,1,3,1,1
6.579688520003731e-11,1,3,2,0
6.278980306834493e-11,1,3,2,1
1.0943694741740344e-10,1,3,3,0
1.0136285632249148e-10,1,3,3,1
9.35885256589364e-11,1,3,4,0
8.761987617579635e-11,1,3,4,1
1.3711497351054932e-10,1,3,5,0
1.2467250880838378e-10,1,3,5,1
1.5881151346332408e-10,1,3,6,0
1.4235609655456986e-10,1,3,6,1
2.0207190511489992e-10,1,3,7,0
1.7616183460611385e-10,1,3,7,1
1.9814643188137167e-10,1,3,8,0
1.7317103777136407e-10,1,3,8,1
2.412467628560858e-10,1,3,9,0
2.0521246486547102e-10,1,3,9,1
2.6273122054883117e-10,1,3,10,0
2.2055404078699606e-10,1,3,10,1
3.055693868142001e-10,1,3,11,0
2.499722447834801e-10,1,3,11,1
2.9001199593983585e-10,1,3,12,0
2.3946370329448513e-10,1,3,12,1
3.3273966295238976e-10,1,3,13,0
2.678654493539966e-10,1,3,13,1
3.540386384544618e-10,1,3,14,0
2.8149860610593593e-10,1,3,14,1
2.2000000000000002e-08,1,4,0,0
1.8181818181818182e-09,1,4,0,1
4.3912175648702607e-11,1,4,1,0
4.296035930482328e-11,1,4,1,1
6.580259222333002e-11,1,4,2,0
6.368812120042459e-11,1,4,2,1
1.0945273631840796e-10,1,4,3,0
1.0372465818010373e-10,1,4,3,1
9.360007241785102e-11,1,4,4,0
8.937910050394601e-11,1,4,4,1
1.3713975968922216e-10,1,4,5,0
1.282647086160424e-10,1,4,5,1
1.5884476534296032e-10,1,4,6,0
1.4705882352941178e-10,1,4,6,1
2.021257431093497e-10,1,4,7,0
1.8342024815680634e-10,1,4,7,1
1.9819819819819824e-10,1,4,8,0
1.8018018018018022e-10,1,4,8,1
2.4132350296709223e-10,1,4,9,0
2.1512960677129252e-10,1,4,9,1
2.6282224018683195e-10,1,4,10,0
2.3205094652359766e-10,1,4,10,1
3.0569251456745856e-10,1,4,11,0
2.648440837249039e-10,1,4,11,1
2.9012290302323504e-10,1,4,12,0
2.5307738658862017e-10,1,4,12,1
3.3288566568179783e-10,1,4,13,0
2.850155999662704e-10,1,4,13,1
3.542039355992844e-10,1,4,14,0
3.005008347245409e-10,1,4,14,1
2.244e-08,1,5,0,0
2.1746880570409985e-09,1,5,0,1
4.391389432485323e-11,1,5,1,0
4.3127412258854466e-11,1,5,1,1
6.580645161290324e-11,1,5,2,0
6.405595429211489e-11,1,5,2,1
1.0946341463414635e-10,1,5,3,0
1.0470387217077187e-10,1,5,3,1
9.360788142362654e-11,1,5,4,0
9.010523801517051e-11,1,5,4,1
1.3715652404996016e-10,1,5,5,0
1.2976542640845126e-10,1,5,5,1
1.588672566371682e-10,1,5,6,0
1.4903493769850967e-10,1,5,6,1
2.021621621621622e-10,1,5,7,0
1.865046416335193e-10,1,5,7,1
1.9823321554770324e-10,1,5,8,0
1.831556823299805e-10,1,5,8,1
2.413754187973902e-10,1,5,9,0
2.1938500269735658e-10,1,5,9,1
2.628838192548225e-10,1,5,10,0
2.370098143038476e-10,1,5,10,1
3.057758241758242e-10,1,5,11,0
2.713231126830283e-10,1,5,11,1
2.901979414093429e-10,1,5,12,0
2.589870708640268e-10,1,5,12,1
3.329844586882079e-10,1,5,13,0
2.9253315437231934e-10,1,5,13,1
3.543157894736842e-10,1,5,14,0
3.08869447804439e-10,1,5,14,1
2.2940000000000002e-08,1,6,0,0
2.5632083696599827e-09,1,6,0,1
4.391576749042813e-11,1,6,1,0
4.325744331656451e-11,1,6,1,1
6.581065808919413e-11,1,6,2,0
6.434322754701891e-11,1,6,2,1
1.0947505422993494e-10,1,6,3,0
1.0547360387714968e-10,1,6,3,1
9.361639315794046e-11,1,6,4,0
9.067470564187233e-11,1,6,4,1
1.3717479850940291e-10,1,6,5,0
1.309498219338047e-10,1,6,5,1
1.588917748917749e-10,1,6,6,0
1.5059932383977054e-10,1,6,6,1
2.0220186657449013e-10,1,6,7,0
1.8896101686584826e-10,1,6,7,1
1.9827139152981853e-10,1,6,8,0
1.855240739572159e-10,1,6,8,1
2.41432022084196e-10,1,6,9,0
2.2279174177326524e-10,1,6,9,1
2.6295096095837285e-10,1,6,10,0
2.4099088410780307e-10,1,6,10,1
3.0586666666666665e-10,1,6,11,0
2.765530697269365e-10,1,6,11,1
2.9027976241714735e-10,1,6,12,0
2.6374809365748637e-10,1,6,12,1
3.3309219005069166e-10,1,6,13,0
2.986219252657853e-10,1,6,13,1
3.5443776824034335e-10,1,6,14,0
3.1566515156937836e-10,1,6,14,1
2.338e-08,1,7,0,0
2.891360136869119e-09,1,7,0,1
4.3917349726775966e-11,1,7,1,0
4.3340455715916025e-11,1,7,1,1
6.581421137933977e-11,1,7,2,0
6.452706474747727e-11,1,7,2,1
1.0948488718603662e-10,1,7,3,0
1.0596849446643811e-10,1,7,3,1
9.362358353923491e-11,1,7,4,0
9.104022309038177e-11,1,7,4,1
1.3719023726507356e-10,1,7,5,0
1.317135239325879e-10,1,7,5,1
1.5891248937977912e-10,1,7,6,0
1.516102987350857e-10,1,7,6,1
2.0223541383989146e-10,1,7,7,0
1.9055536087568356e-10,1,7,7,1
1.9830364715860903e-10,1,7,8,0
1.8706071171619903e-10,1,7,8,1
2.4147985099898404e-10,1,7,9,0
2.2501143173318168e-10,1,7,9,1
2.630076968620485e-10,1,7,10,0
2.4359013956825255e-10,1,7,10,1
3.059434360489658e-10,1,7,11,0
2.799815091425533e-10,1,7,11,1
2.9034890597279725e-10,1,7,12,0
2.668646067364435e-10,1,7,12,1
3.3318323636057e-10,1,7,13,0
3.0262333243799805e-10,1,7,13,1
3.545408593091828e-10,1,7,14,0
3.201397585796824e-10,1,7,14,1
2.44e-08,1,8,0,0
3.6065573770491807e-09,1,8,0,1
4.3920798559973826e-11,1,8,1,0
4.346967002568663e-11,1,8,1,1
6.582195700155318e-11,1,8,2,0
6.481390552882256e-11,1,8,2,1
1.0950632394940842e-10,1,8,3,0
1.0674429888403688e-10,1,8,3,1
9.36392585939414e-11,1,8,4,0
9.161225158815244e-11,1,8,4,1
1.3722389762816857e-10,1,8,5,0
1.329142186692818e-10,1,8,5,1
1.5895765472312707e-10,1,8,6,0
1.5320334261838443e-10,1,8,6,1
2.0230856771256707e-10,1,8,7,0
1.9307876305690833e-10,1,8,7,1
1.9837398373983744e-10,1,8,8,0
1.8949181739879418e-10,1,8,8,1
2.4158415841584157e-10,1,8,9,0
2.2853834233068239e-10,1,8,9,1
2.6313143598475633e-10,1,8,10,0
2.477288698111131e-10,1,8,10,1
3.0611088628085796e-10,1,8,11,0
2.854631451174082e-10,1,8,11,1
2.9049971653033134e-10,1,8,12,0
2.718400901090219e-10,1,8,12,1
3.333818417010268e-10,1,8,13,0
3.09037561612182e-10,1,8,13,1
3.547657512116317e-10,1,8,14,0
